First name (English) / নামের প্রথম অংশ (ইংরেজি),Last name (English) / নামের শেষ অংশ (ইংরেজি),Full name in Bangla / বাংলায় পুরো নাম,Date of birth (YYYY-MM-DD or DD/MM/YYYY) / জন্ম তারিখ,Gender (male/female/other) / লিঙ্গ,Class / শ্রেণি,Section / শাখা,Roll number / রোল নম্বর,Guardian relation (father/mother/...) / অভিভাবকের সম্পর্ক,Guardian's name / অভিভাবকের নাম,Guardian's mobile number / অভিভাবকের মোবাইল নম্বর
Rahim,Uddin,রহিম উদ্দিন,2013-01-01,male,Class 6,ক,,mother,Salma Uddin,+8801700000001
Karim,Hossain,করিম হোসেন,02/02/2014,male,Class 6,ক,,father,Mizanur Hossain,+8801700000002
Tanvir,Ahmed,তানভীর আহমেদ,2013-03-03,male,Class 6,ক,,father,Shahidul Ahmed,+8801700000003
Arif,Rahman,আরিফ রহমান,04/04/2014,male,Class 6,ক,,mother,Salma Rahman,+8801700000004
Sakib,Islam,সাকিব ইসলাম,2013-05-05,male,Class 6,ক,,father,Jahangir Islam,+8801700000005
Nayeem,Hasan,নাঈম হাসান,06/06/2014,male,Class 6,ক,,father,Nurul Hasan,+8801700000006
Fahim,Chowdhury,ফাহিম চৌধুরী,31/02/2014,male,Class 6,ক,,mother,Salma Chowdhury,+8801700000007
Imran,Karim,ইমরান করিম,08/08/2014,male,Class 6,ক,,father,Anwar Karim,+8801700000008
Rafi,Sarkar,রাফি সরকার,2013-09-09,male,Class 6,ক,,father,Mosharraf Sarkar,+8801700000009
Shuvo,Khan,শুভ খান,10/10/2014,male,Class 6,ক,,mother,Salma Khan,+8801700000010
Mahin,Uddin,মাহিন উদ্দিন,2013-11-11,male,Class 6,ক,,father,Abdul Uddin,+8801700000011
Tamim,Hossain,তামিম হোসেন,12/12/2014,male,Class 6,ক,,father,Mizanur Hossain,+8801700000012
Rakib,Ahmed,রাকিব আহমেদ,2013-01-13,male,Class 6,ক,,mother,Salma Ahmed,+8801700000013
Jubayer,Rahman,জুবায়ের রহমান,14/02/2014,male,Class 6,ক,,father,Kamrul Rahman,+8801700000014
Siam,Islam,সিয়াম ইসলাম,2013-03-15,male,Class 6,ক,,father,Jahangir Islam,+8801700000015
Ayaan,Hasan,আয়ান হাসান,16/04/2014,male,Class 6,ক,,mother,Salma Hasan,+8801700000016
Rifat,Chowdhury,রিফাত চৌধুরী,2013-05-17,male,Class 6,ক,,father,Rafiqul Chowdhury,+8801700000017
Hasib,Karim,হাসিব করিম,18/06/2014,male,Class 6,ক,,father,Anwar Karim,+8801700000018
Nafis,Sarkar,নাফিস সরকার,2013-07-19,male,Class 6,ঙ,,mother,Salma Sarkar,+8801700000019
Zarif,Khan,জারিফ খান,20/08/2014,male,Class 6,ক,,father,Delwar Khan,+8801700000020
Nusrat,Uddin,নুসরাত উদ্দিন,2013-09-21,female,Class 6,ক,,father,Abdul Uddin,+8801700000021
Farzana,Hossain,ফারজানা হোসেন,22/10/2014,female,Class 6,ক,,mother,Salma Hossain,+8801700000022
Sadia,Ahmed,সাদিয়া আহমেদ,2013-11-23,female,Class 6,ক,,father,Shahidul Ahmed,+8801700000023
Tasnim,Rahman,তাসনিম রহমান,24/12/2014,female,Class 6,ক,,father,Kamrul Rahman,+8801700000024
Anika,Islam,আনিকা ইসলাম,2013-01-25,female,Class 6,ক,,mother,Salma Islam,+8801700000025
Mim,Hasan,মিম হাসান,26/02/2014,female,Class 6,ক,,father,Nurul Hasan,+8801700000026
Riya,Chowdhury,রিয়া চৌধুরী,2013-03-27,female,Class 6,ক,,father,Rafiqul Chowdhury,+8801700000027
Sumaiya,Karim,সুমাইয়া করিম,01/04/2014,female,Class 6,ক,,mother,Salma Karim,+8801700000028
Tahmina,Sarkar,তাহমিনা সরকার,2013-05-02,female,Class 6,ক,,father,Mosharraf Sarkar,+8801700000029
Lamia,Khan,লামিয়া খান,03/06/2014,female,Class 6,ক,,father,Delwar Khan,+8801700000030
Nabila,Uddin,নাবিলা উদ্দিন,2013-07-04,female,Class 6,ক,,mother,Salma Uddin,+8801700000031
Ishrat,Hossain,ইশরাত হোসেন,05/08/2014,female,Class 6,ক,,father,Mizanur Hossain,01212345678
Maliha,Ahmed,মালিহা আহমেদ,2013-09-06,female,Class 6,ক,,father,Shahidul Ahmed,+8801700000033
Raisa,Rahman,রাইসা রহমান,07/10/2014,female,Class 6,ক,,mother,Salma Rahman,+8801700000034
Afsana,Islam,আফসানা ইসলাম,2013-11-08,female,Class 6,ক,,father,Jahangir Islam,+8801700000035
Jannat,Hasan,জান্নাত হাসান,09/12/2014,female,Class 6,ক,,father,Nurul Hasan,+8801700000036
Samia,Chowdhury,সামিয়া চৌধুরী,2013-01-10,female,Class 6,ক,,mother,Salma Chowdhury,+8801700000037
Tanjila,Karim,তানজিলা করিম,11/02/2014,female,Class 6,ক,,father,Anwar Karim,+8801700000038
Fariha,Sarkar,ফারিহা সরকার,2013-03-12,female,Class 6,ক,,father,Mosharraf Sarkar,+8801700000039
Ayesha,Khan,আয়েশা খান,13/04/2014,female,Class 6,ক,,mother,Salma Khan,+8801700000040
